iter	Passed	Remaining
452	1098	1326
453	1111	1336
454	1113	1333
455	1114	1329
456	1132	1345
457	1133	1341
458	1133	1336
459	1134	1331
460	1135	1327
461	1136	1322
462	1136	1318
463	1156	1336
464	1157	1331
465	1188	1361
466	1189	1357
467	1189	1352
468	1190	1347
469	1191	1343
470	1191	1338
471	1192	1334
472	1193	1329
473	1194	1325
474	1217	1345
475	1219	1342
476	1220	1337
477	1220	1333
478	1247	1356
479	1247	1351
480	1267	1367
481	1268	1362
482	1268	1358
483	1294	1380
484	1296	1376
485	1297	1372
486	1324	1395
487	1325	1390
488	1326	1386
489	1327	1381
490	1327	1376
491	1329	1372
492	1329	1367
493	1330	1362
494	1331	1357
495	1331	1353
496	1332	1348
497	1338	1349
498	1338	1344
499	1339	1339
500	1340	1335
501	1360	1349
502	1362	1346
503	1383	1361
504	1384	1357
505	1387	1354
506	1401	1362
507	1404	1359
508	1406	1356
509	1408	1352
510	1419	1358
511	1426	1359
512	1430	1358
513	1433	1355
514	1435	1351
515	1453	1363
516	1455	1359
517	1456	1354
518	1456	1350
519	1457	1345
520	1464	1346
521	1465	1341
522	1474	1344
523	1474	1339
524	1475	1335
525	1476	1330
526	1476	1325
527	1485	1327
528	1486	1323
529	1486	1318
530	1487	1313
531	1487	1308
532	1496	1310
533	1496	1306
534	1497	1301
535	1498	1296
536	1536	1324
537	1537	1320
538	1538	1315
539	1539	1311
540	1539	1306
541	1540	1301
542	1544	1299
543	1544	1294
544	1560	1302
545	1565	1301
546	1566	1296
547	1570	1295
548	1570	1290
549	1571	1285
550	1587	1293
551	1588	1289
552	1589	1284
553	1589	1279
554	1590	1275
555	1591	1270
556	1591	1266
557	1592	1261
558	1593	1257
559	1594	1252
560	1594	1247
561	1595	1243
562	1604	1245
563	1604	1240
564	1607	1237
565	1612	1236
566	1613	1232
567	1614	1227
568	1616	1224
569	1617	1220
570	1621	1218
571	1622	1213
572	1623	1209
573	1623	1205
574	1624	1200
575	1625	1196
576	1626	1192
577	1626	1187
578	1627	1183
579	1634	1183
580	1635	1179
581	1636	1175
582	1637	1171
583	1643	1170
584	1644	1166
585	1648	1164
586	1651	1161
587	1651	1157
588	1652	1153
589	1653	1149
590	1661	1150
591	1662	1145
592	1663	1141
593	1663	1137
594	1664	1133
595	1665	1128
596	1665	1124
597	1666	1120
598	1667	1116
599	1668	1112
600	1668	1107
601	1669	1103
602	1679	1105
603	1680	1101
604	1680	1097
605	1681	1093
606	1682	1089
607	1682	1084
608	1683	1080
609	1684	1076
610	1684	1072
611	1685	1068
612	1687	1065
613	1699	1068
614	1701	1065
615	1701	1060
616	1702	1056
617	1703	1052
618	1703	1048
619	1712	1049
620	1712	1045
621	1713	1041
622	1714	1037
623	1715	1033
624	1715	1029
625	1716	1025
626	1717	1021
627	1723	1020
628	1723	1016
629	1724	1012
630	1725	1008
631	1726	1005
632	1726	1001
633	1735	1001
634	1736	997
635	1736	994
636	1737	990
637	1738	986
638	1738	982
639	1739	978
640	1740	974
641	1756	979
642	1757	975
643	1765	975
644	1768	973
645	1769	969
646	1770	965
647	1770	961
648	1771	958
649	1772	954
650	1775	951
651	1776	948
652	1777	944
653	1786	945
654	1792	944
655	1793	940
656	1794	936
657	1794	932
658	1795	929
659	1796	925
660	1796	921
661	1805	921
662	1805	917
663	1806	914
664	1818	915
665	1819	912
666	1819	908
667	1820	904
668	1821	901
669	1821	897
670	1822	893
671	1823	889
672	1837	893
673	1838	889
674	1839	885
675	1847	885
676	1848	881
677	1849	878
678	1850	874
679	1853	872
680	1854	868
681	1855	865
682	1859	862
683	1860	859
684	1860	855
685	1861	852
686	1872	852
687	1872	849
688	1873	845
689	1874	842
690	1874	838
691	1875	834
692	1880	832
693	1880	829
694	1881	825
695	1882	822
696	1883	818
697	1900	822
698	1902	819
699	1903	815
700	1904	812
701	1904	808
702	1905	805
703	1913	804
704	1914	800
705	1914	797
706	1915	793
707	1916	790
708	1917	787
709	1918	783
710	1918	779
711	1919	776
712	1920	772
713	1920	769
714	1922	766
715	1926	764
716	1927	760
717	1927	757
718	1928	753
719	1929	750
720	1930	746
721	1941	747
722	1944	744
723	1944	741
724	1945	737
725	1946	734
726	1946	731
727	1947	727
728	1948	724
729	1948	720
730	1951	718
731	1957	716
732	1957	713
733	1958	709
734	1959	706
735	1959	703
736	1960	699
737	1965	697
738	1965	694
739	1966	690
740	1967	687
741	1967	684
742	1971	681
743	1972	678
744	1974	675
745	1975	672
746	1975	669
747	1976	665
748	1977	662
749	1988	662
750	1989	659
751	1990	656
752	1991	653
753	1998	652
754	1999	648
755	2000	645
756	2000	642
757	2001	639
758	2002	635
759	2002	632
760	2003	629
761	2004	626
762	2005	622
763	2005	619
764	2006	616
765	2013	615
766	2014	612
767	2015	608
768	2018	606
769	2018	602
770	2019	599
771	2020	596
772	2042	599
773	2042	596
774	2043	593
775	2044	590
776	2044	586
777	2045	583
778	2046	580
779	2047	577
780	2047	574
781	2048	571
782	2049	567
783	2049	564
784	2050	561
785	2051	558
786	2052	555
787	2053	552
788	2053	549
789	2070	550
790	2076	548
791	2090	549
792	2091	545
793	2096	544
794	2099	541
795	2100	538
796	2101	535
797	2117	535
798	2121	533
799	2122	530
800	2134	530
801	2142	528
802	2144	526
803	2145	523
804	2146	519
805	2152	518
806	2163	517
807	2164	514
808	2164	511
809	2165	508
810	2171	506
811	2172	503
812	2173	500
813	2186	499
814	2187	496
815	2191	494
816	2192	491
817	2194	488
818	2197	485
819	2198	482
820	2199	479
821	2200	476
822	2207	474
823	2216	473
824	2217	470
825	2218	467
826	2219	464
827	2221	461
828	2228	459
829	2229	456
830	2230	453
831	2231	450
832	2238	448
833	2239	445
834	2246	443
835	2247	440
836	2248	437
837	2253	435
838	2259	433
839	2262	431
840	2263	428
841	2271	426
842	2274	423
843	2275	420
844	2276	417
845	2280	415
846	2281	412
847	2297	411
848	2300	409
849	2301	406
850	2301	403
851	2304	400
852	2309	398
853	2310	395
854	2318	393
855	2322	390
856	2323	387
857	2324	384
858	2325	381
859	2325	378
860	2331	376
861	2333	373
862	2334	370
863	2335	367
864	2336	364
865	2336	361
866	2342	359
867	2344	356
868	2345	353
869	2346	350
870	2346	347
871	2347	344
872	2351	342
873	2355	339
874	2357	336
875	2359	334
876	2360	331
877	2361	328
878	2362	325
879	2363	322
880	2369	320
881	2380	318
882	2381	315
883	2383	312
884	2388	310
885	2388	307
886	2389	304
887	2392	301
888	2395	299
889	2396	296
890	2397	293
891	2407	291
892	2411	288
893	2414	286
894	2416	283
895	2417	280
896	2418	277
897	2419	274
898	2428	272
899	2430	270
900	2431	267
901	2435	264
902	2436	261
903	2437	258
904	2438	255
905	2439	253
906	2440	250
907	2441	247
908	2442	244
909	2442	241
910	2448	239
911	2451	236
912	2451	233
913	2452	230
914	2457	228
915	2459	225
916	2459	222
917	2463	220
918	2464	217
919	2465	214
920	2466	211
921	2467	208
922	2467	205
923	2468	203
924	2483	201
925	2487	198
926	2488	195
927	2492	193
928	2494	190
929	2495	187
930	2495	184
931	2505	182
932	2506	179
933	2507	177
934	2512	174
935	2520	172
936	2522	169
937	2523	166
938	2524	163
939	2524	161
940	2525	158
941	2533	155
942	2539	153
943	2540	150
944	2541	147
945	2551	145
946	2554	142
947	2555	140
948	2556	137
949	2557	134
950	2563	132
951	2573	129
952	2575	127
953	2576	124
954	2577	121
955	2578	118
956	2582	116
957	2585	113
958	2587	110
959	2588	107
960	2598	105
961	2599	102
962	2601	99
963	2604	97
964	2605	94
965	2606	91
966	2606	88
967	2618	86
968	2622	83
969	2623	81
970	2625	78
971	2626	75
972	2627	72
973	2632	70
974	2633	67
975	2634	64
976	2648	62
977	2653	59
978	2655	56
979	2658	54
980	2659	51
981	2660	48
982	2678	46
983	2684	43
984	2685	40
985	2686	38
986	2687	35
987	2688	32
988	2701	30
989	2705	27
990	2710	24
991	2718	21
992	2719	19
993	2728	16
994	2731	13
995	2747	11
996	2748	8
997	2749	5
998	2751	2
999	2755	0
